base_district,floterial_district
Be 1,
Be 2,
Be 3,Be 8
Be 4,Be 8
Be 5,
Be 6,
Be 7,
Ca 1,
Ca 2,
Ca 3,Ca 8
Ca 4,Ca 8
Ca 5,Ca 7
Ca 6,Ca 7
Ch 1,Ch 15
Ch 10,Ch 17
Ch 11,Ch 17
Ch 12,Ch 17
Ch 13,Ch 18
Ch 14,Ch 18
Ch 2,Ch 15
Ch 3,Ch 15
Ch 4,Ch 15
Ch 5,Ch 15
Ch 6,Ch 15
Ch 7,
Ch 8,Ch 16
Ch 9,Ch 16
Co 2,
Co 3,
Co 4,Co 7
Co 5,Co 7
Co 6,
Gr 1,
Gr 10,Gr 18
Gr 11,Gr 18
Gr 12,
Gr 13,Gr 17
Gr 14,Gr 17
Gr 15,Gr 17
Gr 16,Gr 18
Gr 2,
Gr 3,
Gr 4,
Gr 5,
Gr 6,
Gr 7,
Gr 8,
Gr 9,Gr 18
Hi 1,
Hi 10,
Hi 11,
Hi 12,
Hi 13,Hi 38
Hi 14,Hi 38
Hi 15,Hi 39
Hi 16,Hi 39
Hi 17,Hi 41
Hi 18,Hi 40
Hi 19,Hi 40
Hi 2,
Hi 20,Hi 39
Hi 21,Hi 40
Hi 22,Hi 40
Hi 23,Hi 40
Hi 24,Hi 41
Hi 25,Hi 41
Hi 26,Hi 41
Hi 27,
Hi 28,Hi 44
Hi 29,Hi 44
Hi 3,
Hi 30,
Hi 31,
Hi 32,
Hi 33,
Hi 34,Hi 37
Hi 35,Hi 45
Hi 36,Hi 45
Hi 4,
Hi 42,
Hi 43,Hi 37
Hi 5,
Hi 6,
Hi 7,
Hi 8,
Hi 9,
Me 1,Me 26
Me 10,
Me 11,Me 27
Me 12,
Me 13,
Me 14,Me 27
Me 15,Me 28
Me 16,Me 28
Me 17,Me 28
Me 18,Me 29
Me 19,Me 30
Me 2,Me 25
Me 20,Me 30
Me 21,Me 30
Me 22,
Me 23,Me 29
Me 24,Me 29
Me 3,Me 25
Me 4,Me 26
Me 5,Me 26
Me 6,
Me 7,
Me 8,
Me 9,
Ro 1,
Ro 10,Ro 33
Ro 11,Ro 33
Ro 12,Ro 33
Ro 13,
Ro 14,Ro 34
Ro 15,Ro 34
Ro 16,Ro 35
Ro 17,Ro 35
Ro 18,
Ro 19,Ro 36
Ro 2,Ro 31
Ro 20,Ro 36
Ro 21,Ro 37
Ro 22,Ro 37
Ro 23,Ro 38
Ro 24,Ro 39
Ro 25,
Ro 26,Ro 39
Ro 27,Ro 39
Ro 28,Ro 39
Ro 29,Ro 40
Ro 3,Ro 31
Ro 30,Ro 40
Ro 4,
Ro 5,
Ro 6,Ro 32
Ro 7,Ro 32
Ro 8,Ro 32
Ro 9,
St 1,
St 10,St 20
St 11,St 20
St 12,
St 13,St 21
St 14,St 21
St 15,St 21
St 16,St 21
St 17,St 21
St 2,
St 3,St 18
St 4,St 18
St 5,St 19
St 6,St 19
St 7,St 19
St 8,St 19
St 9,St 19
Su 1,
Su 2,Su 7
Su 3,Su 7
Su 4,Su 8
Su 5,Su 8
Su 6,Su 8
