town,county,floterial_district
Acworth,Acworth,Su 8
Albany,Albany,
Alexandria,Alexandria,Gr 18
Allenstown,Allenstown,Me 27
Alstead,Alstead,Ch 16
Alton,Alton,
Amherst,Amherst,Hi 37
Andover,Andover,Me 26
Antrim,Antrim,
Ashland,Ashland,
Atkinson,Atkinson,
Atkinson & Gilmanton,Atkinson & Gilmanton,
Auburn,Auburn,Ro 31
Barnstead,Barnstead,
Barrington,Barrington,St 18
Bartlett,Bartlett,
Bath,Bath,
Beans Grant,Beans Grant,
Beans Purchase,Beans Purchase,
Bedford,Bedford,
Belmont,Belmont,Be 8
Bennington,Bennington,
Benton,Benton,
Berlin,Berlin,Co 7
Bethlehem,Bethlehem,
Boscawen,Boscawen,Me 26
Bow,Bow,
Bradford,Bradford,
Brentwood,Brentwood,Ro 32
Bridgewater,Bridgewater,Gr 18
Bristol,Bristol,Gr 18
Brookfield,Brookfield,Ca 8
Brookline,Brookline,Hi 45
Cambridge,Cambridge,
Campton,Campton,
Canaan,Canaan,Gr 18
Candia,Candia,Ro 31
Canterbury,Canterbury,Me 26
Carroll,Carroll,Co 7
Center Harbor,Center Harbor,
Chandlers Purchase,Chandlers Purchase,
Charlestown,Charlestown,Su 7
Chatham,Chatham,
Chester,Chester,Ro 31
Chesterfield,Chesterfield,Ch 15
Chichester,Chichester,
Claremont,Claremont,Su 8
Clarksville,Clarksville,
Colebrook,Colebrook,
Columbia,Columbia,
Concord,Concord,Me 30
Conway,Conway,
Cornish,Cornish,Su 7
Crawfords Purchase,Crawfords Purchase,
Croydon,Croydon,Su 8
Cutts Grant,Cutts Grant,
Dalton,Dalton,
Danbury,Danbury,Me 26
Danville,Danville,Ro 32
Deerfield,Deerfield,Ro 31
Deering,Deering,
Derry,Derry,
Dixs Grant,Dixs Grant,
Dixville,Dixville,
Dorchester,Dorchester,Gr 18
Dover,Dover,St 21
Dublin,Dublin,Ch 18
Dummer,Dummer,
Dunbarton,Dunbarton,Me 27
Durham,Durham,St 20
East Kingston,East Kingston,Ro 34
Easton,Easton,
Eaton,Eaton,Ca 8
Effingham,Effingham,Ca 8
Ellsworth,Ellsworth,
Enfield,Enfield,Gr 18
Epping,Epping,
Epsom,Epsom,Me 27
Errol,Errol,
Ervings Location,Ervings Location,
Exeter,Exeter,Ro 33
Farmington,Farmington,
Fitzwilliam,Fitzwilliam,Ch 17
Francestown,Francestown,
